,site_name,state,country,service_month,invoice_name,submitted_by,status
38,Santa Catarina_Brazil_112,Santa Catarina,Brazil,MAR-2024,Santa Catarina_Brazil_112-MAR-2024,Jeff W.,POSTED
39,Santa Catarina_Brazil_112,Santa Catarina,Brazil,APR-2024,Santa Catarina_Brazil_112-APR-2024,Adam S.,POSTED
40,Santa Catarina_Brazil_112,Santa Catarina,Brazil,MAY-2024,Santa Catarina_Brazil_112-MAY-2024,Jeff W.,POSTED
41,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JUN-2024,Santa Catarina_Brazil_112-JUN-2024,Eszter S.,POSTED
42,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JUL-2024,Santa Catarina_Brazil_112-JUL-2024,Eszter S.,POSTED
43,Santa Catarina_Brazil_112,Santa Catarina,Brazil,AUG-2024,Santa Catarina_Brazil_112-AUG-2024,Carlos R.,POSTED
44,Santa Catarina_Brazil_112,Santa Catarina,Brazil,SEP-2024,Santa Catarina_Brazil_112-SEP-2024,Adam S.,POSTED
45,Santa Catarina_Brazil_112,Santa Catarina,Brazil,OCT-2024,Santa Catarina_Brazil_112-OCT-2024,Jeff W.,POSTED
46,Santa Catarina_Brazil_112,Santa Catarina,Brazil,NOV-2024,Santa Catarina_Brazil_112-NOV-2024,Adam S.,POSTED
47,Santa Catarina_Brazil_112,Santa Catarina,Brazil,DEC-2024,Santa Catarina_Brazil_112-DEC-2024,Adam S.,POSTED
48,Ontario_Canada_188,Ontario,Canada,JAN-2021,Ontario_Canada_188-JAN-2021,Adam S.,POSTED
49,Ontario_Canada_188,Ontario,Canada,FEB-2021,Ontario_Canada_188-FEB-2021,Carlos R.,POSTED
50,Ontario_Canada_188,Ontario,Canada,MAR-2021,Ontario_Canada_188-MAR-2021,Carlos R.,POSTED
51,Ontario_Canada_188,Ontario,Canada,APR-2021,Ontario_Canada_188-APR-2021,Eszter S.,POSTED
52,Ontario_Canada_188,Ontario,Canada,MAY-2021,Ontario_Canada_188-MAY-2021,Carlos R.,POSTED
53,Ontario_Canada_188,Ontario,Canada,JUN-2021,Ontario_Canada_188-JUN-2021,Jeff W.,POSTED
54,Ontario_Canada_188,Ontario,Canada,JUL-2021,Ontario_Canada_188-JUL-2021,Carlos R.,POSTED
55,Ontario_Canada_188,Ontario,Canada,AUG-2021,Ontario_Canada_188-AUG-2021,Eszter S.,POSTED
56,Ontario_Canada_188,Ontario,Canada,SEP-2021,Ontario_Canada_188-SEP-2021,Jeff W.,POSTED
57,Ontario_Canada_188,Ontario,Canada,OCT-2021,Ontario_Canada_188-OCT-2021,Carlos R.,POSTED
58,Ontario_Canada_188,Ontario,Canada,NOV-2021,Ontario_Canada_188-NOV-2021,Jeff W.,POSTED
59,Ontario_Canada_188,Ontario,Canada,DEC-2021,Ontario_Canada_188-DEC-2021,Adam S.,POSTED
60,Ontario_Canada_188,Ontario,Canada,JAN-2022,Ontario_Canada_188-JAN-2022,Adam S.,PROCESSED
61,Ontario_Canada_188,Ontario,Canada,FEB-2022,Ontario_Canada_188-FEB-2022,Jeff W.,POSTED
62,Ontario_Canada_188,Ontario,Canada,MAR-2022,Ontario_Canada_188-MAR-2022,Eszter S.,POSTED
63,Ontario_Canada_188,Ontario,Canada,APR-2022,Ontario_Canada_188-APR-2022,Carlos R.,POSTED
64,Ontario_Canada_188,Ontario,Canada,MAY-2022,Ontario_Canada_188-MAY-2022,Eszter S.,POSTED
65,Ontario_Canada_188,Ontario,Canada,JUN-2022,Ontario_Canada_188-JUN-2022,Jeff W.,POSTED
66,Ontario_Canada_188,Ontario,Canada,JUL-2022,Ontario_Canada_188-JUL-2022,Jeff W.,POSTED
67,Ontario_Canada_188,Ontario,Canada,AUG-2022,Ontario_Canada_188-AUG-2022,Adam S.,POSTED
68,Ontario_Canada_188,Ontario,Canada,SEP-2022,Ontario_Canada_188-SEP-2022,Adam S.,POSTED
69,Ontario_Canada_188,Ontario,Canada,OCT-2022,Ontario_Canada_188-OCT-2022,Eszter S.,POSTED
70,Ontario_Canada_188,Ontario,Canada,NOV-2022,Ontario_Canada_188-NOV-2022,Carlos R.,IN-PROCESS
71,Ontario_Canada_188,Ontario,Canada,DEC-2022,Ontario_Canada_188-DEC-2022,Carlos R.,POSTED
72,Ontario_Canada_188,Ontario,Canada,JAN-2023,Ontario_Canada_188-JAN-2023,Jeff W.,POSTED
73,Ontario_Canada_188,Ontario,Canada,FEB-2023,Ontario_Canada_188-FEB-2023,Jeff W.,SUBMITTED
74,Ontario_Canada_188,Ontario,Canada,MAR-2023,Ontario_Canada_188-MAR-2023,Adam S.,POSTED
75,Ontario_Canada_188,Ontario,Canada,APR-2023,Ontario_Canada_188-APR-2023,Jeff W.,POSTED
76,Ontario_Canada_188,Ontario,Canada,MAY-2023,Ontario_Canada_188-MAY-2023,Adam S.,POSTED
77,Ontario_Canada_188,Ontario,Canada,JUN-2023,Ontario_Canada_188-JUN-2023,Adam S.,POSTED
78,Ontario_Canada_188,Ontario,Canada,JUL-2023,Ontario_Canada_188-JUL-2023,Jeff W.,POSTED
79,Ontario_Canada_188,Ontario,Canada,AUG-2023,Ontario_Canada_188-AUG-2023,Carlos R.,POSTED
80,Ontario_Canada_188,Ontario,Canada,SEP-2023,Ontario_Canada_188-SEP-2023,Eszter S.,SUBMITTED
81,Ontario_Canada_188,Ontario,Canada,OCT-2023,Ontario_Canada_188-OCT-2023,Adam S.,POSTED
82,Ontario_Canada_188,Ontario,Canada,NOV-2023,Ontario_Canada_188-NOV-2023,Eszter S.,POSTED
83,Ontario_Canada_188,Ontario,Canada,DEC-2023,Ontario_Canada_188-DEC-2023,Eszter S.,POSTED
84,Ontario_Canada_188,Ontario,Canada,JAN-2024,Ontario_Canada_188-JAN-2024,Adam S.,POSTED
85,Ontario_Canada_188,Ontario,Canada,FEB-2024,Ontario_Canada_188-FEB-2024,Adam S.,POSTED
86,Ontario_Canada_188,Ontario,Canada,MAR-2024,Ontario_Canada_188-MAR-2024,Jeff W.,POSTED
87,Ontario_Canada_188,Ontario,Canada,APR-2024,Ontario_Canada_188-APR-2024,Jeff W.,POSTED
88,Ontario_Canada_188,Ontario,Canada,MAY-2024,Ontario_Canada_188-MAY-2024,Eszter S.,POSTED
89,Ontario_Canada_188,Ontario,Canada,JUN-2024,Ontario_Canada_188-JUN-2024,Adam S.,POSTED
90,Ontario_Canada_188,Ontario,Canada,JUL-2024,Ontario_Canada_188-JUL-2024,Eszter S.,POSTED
91,Ontario_Canada_188,Ontario,Canada,AUG-2024,Ontario_Canada_188-AUG-2024,Carlos R.,POSTED
92,Ontario_Canada_188,Ontario,Canada,SEP-2024,Ontario_Canada_188-SEP-2024,Eszter S.,POSTED
93,Ontario_Canada_188,Ontario,Canada,OCT-2024,Ontario_Canada_188-OCT-2024,Adam S.,POSTED
94,Ontario_Canada_188,Ontario,Canada,NOV-2024,Ontario_Canada_188-NOV-2024,Eszter S.,POSTED
95,Ontario_Canada_188,Ontario,Canada,DEC-2024,Ontario_Canada_188-DEC-2024,Eszter S.,POSTED
96,Piauí_Brazil_160,Piauí,Brazil,JAN-2021,Piauí_Brazil_160-JAN-2021,Eszter S.,POSTED
97,Piauí_Brazil_160,Piauí,Brazil,FEB-2021,Piauí_Brazil_160-FEB-2021,Jeff W.,POSTED
98,Piauí_Brazil_160,Piauí,Brazil,MAR-2021,Piauí_Brazil_160-MAR-2021,Eszter S.,POSTED
99,Piauí_Brazil_160,Piauí,Brazil,APR-2021,Piauí_Brazil_160-APR-2021,Jeff W.,IN-PROCESS
100,Piauí_Brazil_160,Piauí,Brazil,MAY-2021,Piauí_Brazil_160-MAY-2021,Eszter S.,POSTED
101,Piauí_Brazil_160,Piauí,Brazil,JUN-2021,Piauí_Brazil_160-JUN-2021,Eszter S.,POSTED
102,Piauí_Brazil_160,Piauí,Brazil,JUL-2021,Piauí_Brazil_160-JUL-2021,Jeff W.,POSTED
103,Piauí_Brazil_160,Piauí,Brazil,AUG-2021,Piauí_Brazil_160-AUG-2021,Carlos R.,POSTED
104,Piauí_Brazil_160,Piauí,Brazil,SEP-2021,Piauí_Brazil_160-SEP-2021,Adam S.,POSTED
105,Piauí_Brazil_160,Piauí,Brazil,OCT-2021,Piauí_Brazil_160-OCT-2021,Carlos R.,POSTED
106,Piauí_Brazil_160,Piauí,Brazil,NOV-2021,Piauí_Brazil_160-NOV-2021,Jeff W.,POSTED
107,Piauí_Brazil_160,Piauí,Brazil,DEC-2021,Piauí_Brazil_160-DEC-2021,Jeff W.,POSTED
108,Piauí_Brazil_160,Piauí,Brazil,JAN-2022,Piauí_Brazil_160-JAN-2022,Adam S.,SUBMITTED
109,Piauí_Brazil_160,Piauí,Brazil,FEB-2022,Piauí_Brazil_160-FEB-2022,Eszter S.,POSTED
110,Piauí_Brazil_160,Piauí,Brazil,MAR-2022,Piauí_Brazil_160-MAR-2022,Adam S.,POSTED
111,Piauí_Brazil_160,Piauí,Brazil,APR-2022,Piauí_Brazil_160-APR-2022,Eszter S.,POSTED
112,Piauí_Brazil_160,Piauí,Brazil,MAY-2022,Piauí_Brazil_160-MAY-2022,Eszter S.,POSTED
113,Piauí_Brazil_160,Piauí,Brazil,JUN-2022,Piauí_Brazil_160-JUN-2022,Adam S.,SUBMITTED
114,Piauí_Brazil_160,Piauí,Brazil,JUL-2022,Piauí_Brazil_160-JUL-2022,Jeff W.,POSTED
115,Piauí_Brazil_160,Piauí,Brazil,AUG-2022,Piauí_Brazil_160-AUG-2022,Carlos R.,POSTED
116,Piauí_Brazil_160,Piauí,Brazil,SEP-2022,Piauí_Brazil_160-SEP-2022,Jeff W.,POSTED
117,Piauí_Brazil_160,Piauí,Brazil,OCT-2022,Piauí_Brazil_160-OCT-2022,Jeff W.,POSTED
118,Piauí_Brazil_160,Piauí,Brazil,NOV-2022,Piauí_Brazil_160-NOV-2022,Jeff W.,POSTED
119,Piauí_Brazil_160,Piauí,Brazil,DEC-2022,Piauí_Brazil_160-DEC-2022,Eszter S.,POSTED
120,Piauí_Brazil_160,Piauí,Brazil,JAN-2023,Piauí_Brazil_160-JAN-2023,Eszter S.,POSTED
121,Piauí_Brazil_160,Piauí,Brazil,FEB-2023,Piauí_Brazil_160-FEB-2023,Jeff W.,POSTED
122,Piauí_Brazil_160,Piauí,Brazil,MAR-2023,Piauí_Brazil_160-MAR-2023,Carlos R.,POSTED
123,Piauí_Brazil_160,Piauí,Brazil,APR-2023,Piauí_Brazil_160-APR-2023,Carlos R.,POSTED
124,Piauí_Brazil_160,Piauí,Brazil,MAY-2023,Piauí_Brazil_160-MAY-2023,Carlos R.,POSTED
125,Piauí_Brazil_160,Piauí,Brazil,JUN-2023,Piauí_Brazil_160-JUN-2023,Carlos R.,POSTED
126,Piauí_Brazil_160,Piauí,Brazil,JUL-2023,Piauí_Brazil_160-JUL-2023,Adam S.,POSTED
127,Piauí_Brazil_160,Piauí,Brazil,AUG-2023,Piauí_Brazil_160-AUG-2023,Eszter S.,POSTED
128,Piauí_Brazil_160,Piauí,Brazil,SEP-2023,Piauí_Brazil_160-SEP-2023,Eszter S.,POSTED
129,Piauí_Brazil_160,Piauí,Brazil,OCT-2023,Piauí_Brazil_160-OCT-2023,Eszter S.,POSTED
130,Piauí_Brazil_160,Piauí,Brazil,NOV-2023,Piauí_Brazil_160-NOV-2023,Jeff W.,POSTED
131,Piauí_Brazil_160,Piauí,Brazil,DEC-2023,Piauí_Brazil_160-DEC-2023,Carlos R.,POSTED
132,Piauí_Brazil_160,Piauí,Brazil,JAN-2024,Piauí_Brazil_160-JAN-2024,Carlos R.,POSTED
133,Piauí_Brazil_160,Piauí,Brazil,FEB-2024,Piauí_Brazil_160-FEB-2024,Carlos R.,POSTED
134,Piauí_Brazil_160,Piauí,Brazil,MAR-2024,Piauí_Brazil_160-MAR-2024,Jeff W.,PROCESSED
135,Piauí_Brazil_160,Piauí,Brazil,APR-2024,Piauí_Brazil_160-APR-2024,Adam S.,SUBMITTED
136,Piauí_Brazil_160,Piauí,Brazil,MAY-2024,Piauí_Brazil_160-MAY-2024,Adam S.,POSTED
137,Piauí_Brazil_160,Piauí,Brazil,JUN-2024,Piauí_Brazil_160-JUN-2024,Jeff W.,POSTED
138,Piauí_Brazil_160,Piauí,Brazil,JUL-2024,Piauí_Brazil_160-JUL-2024,Adam S.,POSTED
139,Piauí_Brazil_160,Piauí,Brazil,AUG-2024,Piauí_Brazil_160-AUG-2024,Jeff W.,POSTED
140,Piauí_Brazil_160,Piauí,Brazil,SEP-2024,Piauí_Brazil_160-SEP-2024,Adam S.,POSTED
141,Piauí_Brazil_160,Piauí,Brazil,OCT-2024,Piauí_Brazil_160-OCT-2024,Jeff W.,POSTED
142,Piauí_Brazil_160,Piauí,Brazil,NOV-2024,Piauí_Brazil_160-NOV-2024,Carlos R.,POSTED
143,Piauí_Brazil_160,Piauí,Brazil,DEC-2024,Piauí_Brazil_160-DEC-2024,Adam S.,POSTED
144,Nova Scotia_Canada_275,Nova Scotia,Canada,JAN-2021,Nova Scotia_Canada_275-JAN-2021,Carlos R.,POSTED
145,Nova Scotia_Canada_275,Nova Scotia,Canada,FEB-2021,Nova Scotia_Canada_275-FEB-2021,Carlos R.,SUBMITTED
146,Nova Scotia_Canada_275,Nova Scotia,Canada,MAR-2021,Nova Scotia_Canada_275-MAR-2021,Carlos R.,POSTED
147,Nova Scotia_Canada_275,Nova Scotia,Canada,APR-2021,Nova Scotia_Canada_275-APR-2021,Eszter S.,POSTED
148,Nova Scotia_Canada_275,Nova Scotia,Canada,MAY-2021,Nova Scotia_Canada_275-MAY-2021,Adam S.,POSTED
149,Nova Scotia_Canada_275,Nova Scotia,Canada,JUN-2021,Nova Scotia_Canada_275-JUN-2021,Jeff W.,POSTED
150,Nova Scotia_Canada_275,Nova Scotia,Canada,JUL-2021,Nova Scotia_Canada_275-JUL-2021,Jeff W.,POSTED
151,Nova Scotia_Canada_275,Nova Scotia,Canada,AUG-2021,Nova Scotia_Canada_275-AUG-2021,Eszter S.,POSTED
152,Nova Scotia_Canada_275,Nova Scotia,Canada,SEP-2021,Nova Scotia_Canada_275-SEP-2021,Jeff W.,POSTED
153,Nova Scotia_Canada_275,Nova Scotia,Canada,OCT-2021,Nova Scotia_Canada_275-OCT-2021,Adam S.,POSTED
154,Nova Scotia_Canada_275,Nova Scotia,Canada,NOV-2021,Nova Scotia_Canada_275-NOV-2021,Carlos R.,POSTED
155,Nova Scotia_Canada_275,Nova Scotia,Canada,DEC-2021,Nova Scotia_Canada_275-DEC-2021,Jeff W.,POSTED
156,Nova Scotia_Canada_275,Nova Scotia,Canada,JAN-2022,Nova Scotia_Canada_275-JAN-2022,Adam S.,POSTED
157,Nova Scotia_Canada_275,Nova Scotia,Canada,FEB-2022,Nova Scotia_Canada_275-FEB-2022,Jeff W.,POSTED
158,Nova Scotia_Canada_275,Nova Scotia,Canada,MAR-2022,Nova Scotia_Canada_275-MAR-2022,Carlos R.,POSTED
159,Nova Scotia_Canada_275,Nova Scotia,Canada,APR-2022,Nova Scotia_Canada_275-APR-2022,Eszter S.,POSTED
160,Nova Scotia_Canada_275,Nova Scotia,Canada,MAY-2022,Nova Scotia_Canada_275-MAY-2022,Jeff W.,POSTED
161,Nova Scotia_Canada_275,Nova Scotia,Canada,JUN-2022,Nova Scotia_Canada_275-JUN-2022,Eszter S.,POSTED
162,Nova Scotia_Canada_275,Nova Scotia,Canada,JUL-2022,Nova Scotia_Canada_275-JUL-2022,Eszter S.,POSTED
163,Nova Scotia_Canada_275,Nova Scotia,Canada,AUG-2022,Nova Scotia_Canada_275-AUG-2022,Adam S.,POSTED
164,Nova Scotia_Canada_275,Nova Scotia,Canada,SEP-2022,Nova Scotia_Canada_275-SEP-2022,Eszter S.,POSTED
165,Nova Scotia_Canada_275,Nova Scotia,Canada,OCT-2022,Nova Scotia_Canada_275-OCT-2022,Adam S.,POSTED
166,Nova Scotia_Canada_275,Nova Scotia,Canada,NOV-2022,Nova Scotia_Canada_275-NOV-2022,Eszter S.,POSTED
167,Nova Scotia_Canada_275,Nova Scotia,Canada,DEC-2022,Nova Scotia_Canada_275-DEC-2022,Carlos R.,IN-PROCESS
168,Nova Scotia_Canada_275,Nova Scotia,Canada,JAN-2023,Nova Scotia_Canada_275-JAN-2023,Adam S.,POSTED
169,Nova Scotia_Canada_275,Nova Scotia,Canada,FEB-2023,Nova Scotia_Canada_275-FEB-2023,Eszter S.,POSTED
170,Nova Scotia_Canada_275,Nova Scotia,Canada,MAR-2023,Nova Scotia_Canada_275-MAR-2023,Jeff W.,PROCESSED
171,Nova Scotia_Canada_275,Nova Scotia,Canada,APR-2023,Nova Scotia_Canada_275-APR-2023,Jeff W.,POSTED
172,Nova Scotia_Canada_275,Nova Scotia,Canada,MAY-2023,Nova Scotia_Canada_275-MAY-2023,Jeff W.,POSTED
173,Nova Scotia_Canada_275,Nova Scotia,Canada,JUN-2023,Nova Scotia_Canada_275-JUN-2023,Adam S.,POSTED
174,Nova Scotia_Canada_275,Nova Scotia,Canada,JUL-2023,Nova Scotia_Canada_275-JUL-2023,Carlos R.,POSTED
175,Nova Scotia_Canada_275,Nova Scotia,Canada,AUG-2023,Nova Scotia_Canada_275-AUG-2023,Eszter S.,POSTED
176,Nova Scotia_Canada_275,Nova Scotia,Canada,SEP-2023,Nova Scotia_Canada_275-SEP-2023,Adam S.,POSTED
177,Nova Scotia_Canada_275,Nova Scotia,Canada,OCT-2023,Nova Scotia_Canada_275-OCT-2023,Jeff W.,POSTED
178,Nova Scotia_Canada_275,Nova Scotia,Canada,NOV-2023,Nova Scotia_Canada_275-NOV-2023,Carlos R.,POSTED
179,Nova Scotia_Canada_275,Nova Scotia,Canada,DEC-2023,Nova Scotia_Canada_275-DEC-2023,Adam S.,POSTED
180,Nova Scotia_Canada_275,Nova Scotia,Canada,JAN-2024,Nova Scotia_Canada_275-JAN-2024,Carlos R.,POSTED
181,Nova Scotia_Canada_275,Nova Scotia,Canada,FEB-2024,Nova Scotia_Canada_275-FEB-2024,Carlos R.,POSTED
182,Nova Scotia_Canada_275,Nova Scotia,Canada,MAR-2024,Nova Scotia_Canada_275-MAR-2024,Adam S.,POSTED
183,Nova Scotia_Canada_275,Nova Scotia,Canada,APR-2024,Nova Scotia_Canada_275-APR-2024,Carlos R.,POSTED
184,Nova Scotia_Canada_275,Nova Scotia,Canada,MAY-2024,Nova Scotia_Canada_275-MAY-2024,Jeff W.,POSTED
185,Nova Scotia_Canada_275,Nova Scotia,Canada,JUN-2024,Nova Scotia_Canada_275-JUN-2024,Eszter S.,POSTED
186,Nova Scotia_Canada_275,Nova Scotia,Canada,JUL-2024,Nova Scotia_Canada_275-JUL-2024,Jeff W.,POSTED
187,Nova Scotia_Canada_275,Nova Scotia,Canada,AUG-2024,Nova Scotia_Canada_275-AUG-2024,Adam S.,SUBMITTED
188,Nova Scotia_Canada_275,Nova Scotia,Canada,SEP-2024,Nova Scotia_Canada_275-SEP-2024,Adam S.,POSTED
189,Nova Scotia_Canada_275,Nova Scotia,Canada,OCT-2024,Nova Scotia_Canada_275-OCT-2024,Eszter S.,POSTED
190,Nova Scotia_Canada_275,Nova Scotia,Canada,NOV-2024,Nova Scotia_Canada_275-NOV-2024,Carlos R.,POSTED
191,Nova Scotia_Canada_275,Nova Scotia,Canada,DEC-2024,Nova Scotia_Canada_275-DEC-2024,Adam S.,POSTED
192,Western Australia_Australia_83,Western Australia,Australia,JAN-2021,Western Australia_Australia_83-JAN-2021,Jeff W.,POSTED
193,Western Australia_Australia_83,Western Australia,Australia,FEB-2021,Western Australia_Australia_83-FEB-2021,Adam S.,POSTED
194,Western Australia_Australia_83,Western Australia,Australia,MAR-2021,Western Australia_Australia_83-MAR-2021,Carlos R.,POSTED
195,Western Australia_Australia_83,Western Australia,Australia,APR-2021,Western Australia_Australia_83-APR-2021,Carlos R.,PROCESSED
196,Western Australia_Australia_83,Western Australia,Australia,MAY-2021,Western Australia_Australia_83-MAY-2021,Eszter S.,POSTED
197,Western Australia_Australia_83,Western Australia,Australia,JUN-2021,Western Australia_Australia_83-JUN-2021,Jeff W.,POSTED
198,Western Australia_Australia_83,Western Australia,Australia,JUL-2021,Western Australia_Australia_83-JUL-2021,Carlos R.,PROCESSED
199,Western Australia_Australia_83,Western Australia,Australia,AUG-2021,Western Australia_Australia_83-AUG-2021,Jeff W.,POSTED
200,Western Australia_Australia_83,Western Australia,Australia,SEP-2021,Western Australia_Australia_83-SEP-2021,Jeff W.,POSTED
201,Western Australia_Australia_83,Western Australia,Australia,OCT-2021,Western Australia_Australia_83-OCT-2021,Adam S.,POSTED
202,Western Australia_Australia_83,Western Australia,Australia,NOV-2021,Western Australia_Australia_83-NOV-2021,Carlos R.,POSTED
203,Western Australia_Australia_83,Western Australia,Australia,DEC-2021,Western Australia_Australia_83-DEC-2021,Eszter S.,POSTED
204,Western Australia_Australia_83,Western Australia,Australia,JAN-2022,Western Australia_Australia_83-JAN-2022,Carlos R.,POSTED
205,Western Australia_Australia_83,Western Australia,Australia,FEB-2022,Western Australia_Australia_83-FEB-2022,Adam S.,POSTED
206,Western Australia_Australia_83,Western Australia,Australia,MAR-2022,Western Australia_Australia_83-MAR-2022,Jeff W.,PROCESSED
207,Western Australia_Australia_83,Western Australia,Australia,APR-2022,Western Australia_Australia_83-APR-2022,Adam S.,POSTED
208,Western Australia_Australia_83,Western Australia,Australia,MAY-2022,Western Australia_Australia_83-MAY-2022,Carlos R.,POSTED
209,Western Australia_Australia_83,Western Australia,Australia,JUN-2022,Western Australia_Australia_83-JUN-2022,Eszter S.,POSTED
210,Western Australia_Australia_83,Western Australia,Australia,JUL-2022,Western Australia_Australia_83-JUL-2022,Carlos R.,POSTED
211,Western Australia_Australia_83,Western Australia,Australia,AUG-2022,Western Australia_Australia_83-AUG-2022,Adam S.,POSTED
212,Western Australia_Australia_83,Western Australia,Australia,SEP-2022,Western Australia_Australia_83-SEP-2022,Carlos R.,POSTED
213,Western Australia_Australia_83,Western Australia,Australia,OCT-2022,Western Australia_Australia_83-OCT-2022,Carlos R.,POSTED
214,Western Australia_Australia_83,Western Australia,Australia,NOV-2022,Western Australia_Australia_83-NOV-2022,Eszter S.,POSTED
215,Western Australia_Australia_83,Western Australia,Australia,DEC-2022,Western Australia_Australia_83-DEC-2022,Jeff W.,POSTED
